"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","feature image"
"Petrochemical","Benzene Storage Enhancement","SABIC","SADAF","Plant Services","Jubail","Engineering, Procurement & Supply Of Material, Fabrication & Installation (EPC) Of Piping & Equipment.
• At two locations (SADAF & SABTANK) Replace the tank bottom in kind with a new one at 
• Install a leak detection system liner 
• Install new cathodic protection system.
• Contaminated sand beneath tank 
• Replace the contaminated oily sand by sweet sand
• Replace asbestos gaskets 
• Replace elastomeric seal materials
• Civil and E&I works","Normal","Completed","Mar-13","Dec-16","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/350.jpg   "
"Petrochemical","Fabrication of 1 no new HC - inlet Spool During Shut Down.","SABIC","IBN-SINA","Plant Services","Jubail","Removal/Installation of Fabricated Spool & Valve Along With Repairing Of Old Spool,","Normal","Completed","Mar-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/351.jpg   "
"Petrochemical","Strutural Support works - Weld repairs & Inspection","SABIC","IBN-SINA","Plant Services","Jubail","Structural modification, replacement and re-installation","Normal","Completed","Mar-13","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/352.jpg   "
"Petrochemical","Fabrication of Spade Blind for TAM 2013","TASNEE","TASNEE","Plant Services","Jubail","Fabrication of spade blind for tAM 2013","Normal","Completed","Feb-13","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/353.jpg   "
"Petrochemical","New Blind List for fabrication TAM2013","TASNEE","TASNEE","Plant Services","Jubail","Fabrication & Installation (Mechanical Works)","Normal","Completed","Feb-13","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/354.jpg   "
"Transportation & Infrastructure","Supply of Manpower and Equipment","SAMSUNG","SAMSUNG","Plant Services","Jubail","Mechanical Works (Man power supply)","Normal","Completed","Jan-13","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/355.jpg   "
"Petrochemical","PP-2 Auto Advancing System Project","SABIC","IBN-ZAHR","Plant Services","Jubail","The project scope includes Mechanical Works, ECI & Cilvil Works for the PP-2 Auto Advancing System Project. ","Normal","Completed","Dec-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/356.jpg   "
"Petrochemical","LSTK Upgrade The Collection & Blow Off Header","SABIC","SADAF","Plant Services","Jubail","Procurement, Detailed Engineering, Construction & Commissioning Project","Normal","Completed","Oct-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/357.jpg   "
"Petrochemical","Ar-Razi V, Parafin Plant Addition & WARB Replacement.","SABIC / Ar-Razi","MHI","Plant Services","Jubail","Mechanical, Heavy Lift, Civil, , Electrical & Instrumentation works for Ar-Razi V, Parafin Plant Addition & WARB Replacement.","Normal","Completed","Jan-13","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/358.jpg   "
"Petrochemical","Removal and Installation of Various valves at Saudi Chevron During ShutDown.","SAUDI CHEVRON","SAUDI FAL","Plant Services","Jubail","Removal/Re-Installation, Calibrataion of Valves (Mechanical Works)","Normal","Completed","Dec-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/359.jpg   "
"Petrochemical","Replacement Of Heat Exchangers & Piping Modification.","SABIC","SAFCO","Plant Services","Jubail","Heavy Lift, Replacement Of Heat Exchanger & Piping Modification at SF-3","Normal","Completed","Dec-12","Jan-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/360.jpg   "
"Petrochemical","Supply of Manpower","TASNEE","TASNEE","Plant Services","Jubail","Supply of LCS safety officers during TAM 2013","Normal","Completed","Jun-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/361.jpg   "
"Petrochemical","Desgin and Installation Of Steel Platform on Conveyor Belt Station","TASNEE","TASNEE","Plant Services","Jubail","Supply, Fabrication & Intallation, (Mechanical works)","Normal","Completed","Nov-12","Feb-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/362.jpg   "
"Petrochemical","EPC Of Black Powder Filters Project","SABIC","SADAF","Plant Services","Jubail","Engineering, Procurement & Supply Of Material Equipment, 
Fabrication/Construction, Installation & Commisioning (EPC), Mech / Civil / E & I","Normal","Completed","Nov-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/363.jpg   "
"Petrochemical","Fabrication & Installation of Flare KO Drum During ShutDown.","TASNEE","TASNEE","Plant Services","Jubail","Fabrication & Installation (Mechanical Works)","Normal","Completed","Nov-12","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/364.jpg   "
"Petrochemical","Fabrication Services for Piping/Valve During ShutDown.","CHEMANOL","CHEMANOL","Plant Services","Jubail","Fabrication of Piping, Valve Repair & Replacement 
(Mechanical Works)","Normal","Completed","Jan-13","Aug-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/365.jpg   "
"Petrochemical","Installation of Additional Decanter Unit Project","SABIC / SAUDI KAYAN","TECNIMONT","Electrical & Instrumentation","Jubail","Installation Of Decanter, Piping, Equipment Installation.
(Mechanical, Civil, E & I Works)","Normal","Completed","Oct-12","Sep-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/366.jpg   "
"Petrochemical","MP Steam Line for RA Duct","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works (Man power supply)","Normal","Completed","Oct-12","Nov-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/367.jpg   "
"Petrochemical","Design Fabrication & Installation of Ammonia Line between IBB & Al bayroni","SABIC","AL-BAYRONI","Plant Services","Jubail","Design, Supply, Fabrication, Construction along With Commisioning, (Mechanical, Civil, E & I Works)","Normal","Completed","Aug-12","Mar-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/368.jpg   "
"Oil & Gas","Construction Of Amine Surge Tank & Replacement During S/D.","SAMREF ","SAMREF ","Plant Services","Yanbu","Design, Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/369.jpg   "
"Oil & Gas","Repair of Caustic Tank During ShutDown","SAMREF ","SAMREF ","Plant Services","Yanbu","Procurement,
Fabrication & Construction Works","Normal","Completed","Sep-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/370.jpg   "
"Petrochemical","Engineering Fabrication and Installation of Handhole & N2 Purging Nozzles","TASNEE","TASNEE","Plant Services","Jubail","Engineering, Construction. (Mechanical Works)","Normal","Completed","Jul-13","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/371.jpg   "
"Petrochemical","Installation of Fire Fighting System at Tasnee ","TASNEE","SAMSUNG","Plant Services","Jubail","Supply, Contruction work Like Piping/ Repair welding 7 Painting & NDT, (Mechanical Works)","Normal","Completed","Jul-12","Feb-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/372.jpg   "
"Petrochemical","Ship Loading arm base plate modification and other misc. structure modification","TASNEE","SAMSUNG","Plant Services","Jubail","Modification Of Plateform At Berth, Base Plate Modification Of Loading Arm At Two Different Berths. (Mechanical Works)","Normal","Completed","Oct-12","Jul-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/373.jpg   "
"Petrochemical","Emergency Shut Down/Spool Repair and other maintenance Work","SABIC","IBN-SINA","Plant Services","Jubail","Mechanical Works","Normal","Completed","May-12","Jun-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/374.jpg   "
"Oil & Gas","Installation of Nitrogen Compressor","SABIC","Gas Jubail","Plant Services","Jubail","Mechanical, Civil, Electrical & Instrumentation Works","Normal","Completed","May-12","Nov-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/375.jpg   "
"Petrochemical","Connecting the pump with pipe","TASNEE","TASNEE","Plant Services","Jubail","Mechanical work along with piping modification","Normal","Completed","May-12","Jun-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/376.jpg   "
"Petrochemical","Removal & Installation of Temporary Spools","SABIC","PetroKemya","Plant Services","Jubail","Removal & Installation of temporary spools","Normal","Completed","Apr-12","May-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/377.jpg   "
"Petrochemical","Distributor Pipe and Nozzle Fabrication & Repair","SABIC","SHARQ","Plant Services","Jubail","Mechanical Works","Normal","Completed","Apr-12","May-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/378.jpg   "
"Petrochemical","Repair of Condensate Tank","CHEMANOL","CHEMANOL","Plant Services","Jubail","Mechanical Works","Normal","Completed","Feb-12","Feb-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/379.jpg   "
"Petrochemical","Oil Dispensing Shelter","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works","Normal","Completed","Jan-12","Dec-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/380.jpg   "
"Petrochemical","Repair of Heat Exchanger and Associated Piping Modification","CHEMANOL","CHEMANOL","Plant Services","Jubail","Mechanical Works","Normal","Completed","Jan-12","Dec-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/381.jpg   "
"Petrochemical","TASNEE – Fencing of Scrap Yard","TASNEE","TASNEE","Plant Services","Jubail","Mechanical and Civil","Normal","Completed","Dec-11","Feb-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/382.jpg   "
"Petrochemical","New NDB Feeders for Line 1 & 2
for PP – I Plant, Ibn Zahr Project","SABIC / IBN ZAHR","SCHENCK
PROCESS, Gbmh","Plant Services","Jubail","Piping, Equipment, (Mechanical, Civil,  Electrical & Inst.)","Normal","Completed","Jun-11","Aug-11","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/383.jpg   "
"Petrochemical","TASNEE – Water Washing System Installation","TASNEE","TASNEE","Plant Services","Jubail","Mechanical Works","Normal","Completed","Dec-11","Mar-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/384.jpg   "
"Petrochemical","AR-RAZI V DERRICK STRUCTURE MODIFICATION","SABIC / Ar-Razi","MHI","Plant Services","Jubail","Mechanical Works for AR-RAZI V DERRICK STRUCTURE MODIFICATION","Normal","Completed","Dec-11","Dec-11","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/385.jpg   "
"Petrochemical","E & I Works for SADARA Propylene Oxide Project","SADARA","TEKFEN","Electrical & Instrumentation","Jubail","E & I Works, (Power system installation, Grounding & lightening works, Lighting fixture installation along with instrumentation works)","Major","Completed","Jan-14","Jun-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/386.jpg   "
"Metal","REPAIR ARP CABLE TRAY - TSZP000715","SABIC","HADEED","Electrical & Instrumentation","Jubail","Supply & installation Of Cable Trays in the Acidic Envoirnment along with the cable Laying.","Normal","Completed","Jan-14","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/387.jpg   "
"Metal","Cables & Chains Replacement - TSZP000718","SABIC","HADEED","Electrical & Instrumentation","Jubail","Cable laying & Lighting Fixtures Replacement (Electrical Work)","Normal","Completed","Jan-14","Feb-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/388.jpg   "
"Petrochemical","SADARA Gas Supply Project.","SADARA","eTEC Arabia","Civil Construction","Jubail","Civil, Steel Structure, Building Works","Major","Completed","Dec-13","Aug-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/389.jpg   "
"Oil & Gas","Repair of Crack","SABIC","Gas Jubail","Plant Services","Jubail","To provide welding services to fill up the cracks at Pressure Vessels.","Normal","Completed","Sep-13","Oct-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/390.jpg   "
"Petrochemical","Heat Exchanger Replacement","TASNEE","TASNEE","Plant Services","Jubail","Inspection & Replacement old Heat Exchangers.","Normal","Completed","Apr-13","May-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/391.jpg   "
"Petrochemical"," TGU Tie-In Work","SABIC","AL-BAYRONI","Plant Services","Jubail","Electrical / Instrumentation for Technical GradeUrea Project.","Normal","Completed","Mar-13","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/392.jpg   "
"Petrochemical"," Sadara Aromatics Project","SADARA","JGC","Electrical & Instrumentation","Jubail","Construction of substations & Electrical & Instrumentation works","Major","Completed","Dec-12","Mar-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/393.jpg   "
"Petrochemical","Construction of Water Treatment Facilities","Al-Khafji Joint Operations","JGC","Civil Construction","Khafji","Electrical & Instrumentation works for water treatment facility","Normal","Completed","Dec-12","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/394.jpg   "
"Petrochemical","Warehouse Material Handling Service","SADARA","FLUOR","Site Projects","Jubail","Maintain and handle the Warehouse including preservation Materials in Lay Down Area","Major","Completed","Nov-12","Nov-15","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/395.jpg   "
"Petrochemical","Upgrade of Laydown Area","SADARA","FLUOR","Construction Services","Jubail","Install Fence and expansion of Laydown Area","Normal","Completed","Mar-13","Apr-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/396.jpg   "
"Petrochemical","Mixed Feed Cracker Project (MFC) ","SADARA","DAELIM","Electrical & Instrumentation","Jubail","Electrical Construction works for Mixed Feed Cracker","Major","Completed","Jun-12","Jun-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/397.jpg   "
"Petrochemical","PMDI & TDI Project(SADARA Isocyanate Project)","SADARA","DAELIM","Electrical & Instrumentation","Jubail","Scope of Work Includes MCC & Switchgears installation. Low voltage transformers and Power distribution panels installation, Power transformers installation. Testing of switchgear, MCC, transformers including breakers, CT, PT bus bars & various relays.Installation of lighting fixtures. Installation of conduit, cable tray and cable pulling, Cable glanding, termination & testing. Grounding system installation. Heat tracing & cathodic protection system.Instrument calibration, Instrument JB installation. Instrument DCS & PLC, SCADA panels installation, Wiring, glanding & termination, Cable tray, conduit, duct bank installation. Loop check, Inst. Impulse tubing & Inst. Air line installation and leak test.","Normal","Completed","Jun-12","Sep-16","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/398.jpg   "
"Petrochemical","Structure Modification","TASNEE","TASNEE","Plant Services","Jubail","Installation of Beams at HDPE plant during S/D","Normal","Completed","Jan-12","Jan-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/399.jpg   "
"Petrochemical","Fabrication & Installation of various size pipes on existing plant","TASNEE","SAMSUNG","Plant Services","Jubail","Interconnection Piping in Existing Tasnee Plant / Additional GRP Piping scope for Tie-in and Sea Water piping at TASNEE Plant","Normal","Completed","Apr-12","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/400.jpg   "
"Petrochemical","SADARA Tank Farm Project for ""site office for company and contractor"".","SADARA","DAEWOO ","Civil Construction","Jubail","The scope of work includes the construction of ""site office for company and contractor"".","Normal","Completed","Mar-12","Aug-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/401.jpg   "
"Oil & Gas","KJO Transfer Function Project","Saudi Aramco","JGC","Civil Construction","Khafji","Project includes Construction, Civil, Mechanical & Electrical. Works for KJO Transfer Function Project","Major","Completed","Mar-12","Oct-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/402.jpg   "
"Oil & Gas","Tank Farm E & I Works.","SATORP ","DPL","Electrical & Instrumentation","Jubail","Electrical & Instrumentation works for Tank Farm Area","Major","Completed","Dec-11","Nov-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/403.jpg   "
"Oil & Gas","E & I works for Gasoline Package EPC-3 at Yanbu Aramco Sinopec Refining Project-YASREF","Saudi Aramco","DAELIM","Electrical & Instrumentation","Yanbu","E & I Construction works for Package 3 for E & I works for Gasoline Package EPC-3 at Yanbu Aramco Sinopec Refining Project-YASREF","Major","Completed","May-11","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/404.jpg   "
"Oil & Gas","E & I works for Gasoline Package EPC-4 at Yanbu Aramco Sinopec Refining Project-YASREF","Saudi Aramco","DAELIM","Electrical & Instrumentation","Yanbu","E & I Construction works for Package 4 for E & I works for Gasoline Package EPC-4 at Yanbu Aramco Sinopec Refining Project-YASREF","Major","Completed","Aug-11","Jul-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/405.jpg   "
"Oil & Gas","UAE, PV Project, Ruwais.","TAKREER/ADNOC","SHOWA SHELL
SEKIYU K. K.","Electrical & Instrumentation","UAE","Installation &
Commissioning of Photovoltaic System","Major","Completed","Feb-11","Dec-11","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/406.jpg   "
"Oil & Gas","Wasit Gas Program Project","Saudi Aramco","SK E & C","Civil Construction","Wasit","Construction of Temporary site facilities for Wasit Gas Program Project","Major","Completed","May-11","May-12","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/407.jpg   "
"Oil & Gas","Wasit Gas Program Project","Saudi Aramco","SAMSUNG","Civil Construction","Wasit","Construction of Temporary site facilities for Wasit Gas Program Project","Normal","Completed","Mar-11","Oct-11","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/408.jpg   "
"Petrochemical","Arabian Chloro Vinyl Project - CA / EDC","SAHARA","DAELIM","Electrical & Instrumentation","Jubail","Electrical & Inst.
Works","Major","Completed","Dec-10","Jun-13","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/409.jpg   "
"Power","Rabigh Power Plant-II Project","SEC","DOSSAN","Electrical & Instrumentation","Yanbu","Installation & Commissioning of Instrumentation & Control system.","Major","Completed","Aug-11","May-14","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/410.jpg   "
"Transportation & Infrastructure","Dubai Metro Project, Phase-I ","RTA
(Govt. of DUBAI)","MHI","Electrical & Instrumentation","UAE","Complete Electrical works package for Red Line","Major","Completed","Jan-07","Mar-10","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/411.jpg   "
"Transportation & Infrastructure","Dubai Metro Project, Phase-II","RTA
(Govt. of DUBAI)","MHI","Electrical & Instrumentation","UAE","Complete Electrical works package for Green Line","Major","Completed","Aug-08","October 2010","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/412.jpg   "
"Petrochemical","New NDB Feeders for Line 3 & 4
for PP – II Plant","SABIC / IBN ZAHR","SCHENCK
PROCESS, Gbmh","Electrical & Instrumentation","Jubail","Installation of Equipment, Piping Modification Platform, Foundation work including Electrical & Instrumentation works.","Normal","Completed","Jan-11","Mar-11","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/413.jpg   "
"Transportation & Infrastructure","DUBAI International Airport
Expansion – II","GOVT. OF DUBAI, DEPT. OF CIVIL AVIATION","MHI","Electrical & Instrumentation","UAE","Electrical works for automated people movers concourse 2 & 3","Major","Completed","Apr-09","Mar-10","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/414.jpg   "
"Petrochemical","NCP Package B, E & I works","National Chevron Philips Polymer Ltd.","DAELIM","Electrical & Instrumentation","Jubail","Complete Electrical & Instrumentation work for package B","Major","Completed","Mar-08","Dec-10","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/415.jpg   "
"Petrochemical","E & I, PHLMS ","SABIC / SAUDI KAYAN","SAMSUNG","Electrical & Instrumentation","Jubail","Electrical & Instrumentation Construction, Testing & Commissioning product handling Warehouse.","Major","Completed","Apr-08","Aug-09","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/416.jpg   "
"Petrochemical","E & I Work at Al-Waha","AL-WAHA PDH PP PLANT","DAELIM","Electrical & Instrumentation","Jubail","Electrical & Instrumentation Construction at PDH / PP Plant","Major","Completed","Oct-07","Jan-09","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/417.jpg   "
"Petrochemical","E & I constuction of Plant V","SABIC / Ar-Razi","MHI","Electrical & Instrumentation","Jubail","E & I Work for the construction of Plant V","Major","Completed","Nov-05","Sep-06","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/418.jpg   "
"Metal","Electrical Construction for oxide conveyor","SABIC / HADEED","SAUDI VOEST - ALPINE","Electrical & Instrumentation","Jubail","Electrical Construction for oxide conveyor","Normal","Completed","Jan-01","May-01","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/419.jpg   "
"Metal","Cold Galvanizing Plant Enhancement","SABIC / HADEED","SAUDI VOEST - ALPINE","Plant Services","Jubail","Electrical & Instrumentation  work for Cold Galvanizing plant.","Normal","Completed","Jan-01","May-01","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/420.jpg   "
"Metal","E & I Work for Hot Strip Mill Enhancement","SABIC / HADEED","SAUDI VOEST - ALPINE","Electrical & Instrumentation","Jubail","Complete Eletcrical & Instrumentation for hot strip mill enhancement","Major","Completed","Jan-01","May-01","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/421.jpg   "
"Oil & Gas","Instrumentation Work","Saudi Aramco","MASDAR","Electrical & Instrumentation","Jubail","Installation of Tank Radar Guage at pump station","Normal","Completed","Mar-98","Oct-98","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/422.jpg   "
"Power","Electrical work","SEC","SEIMENS","Electrical & Instrumentation","Jubail","Installation of five 110kV substation","Normal","Completed","May-97","Jul-97","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/423.jpg   "
"Oil & Gas","Instrumentation Installation & commissioning","SAMSUNG","Al-Suwaidi","Electrical & Instrumentation","Jubail","Complete Instrumentation & Commissioning of PDH & PP Plant","Major","Completed","Mar-96","Oct-96","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/424.jpg   "
"Metal","Instrumentation work Utility
Centralization & Automation At
Hadeed-I","SABIC / HADEED","ABB ","Electrical & Instrumentation","Jubail","Centralization & Instrumentation work.","Normal","Completed","Aug-96","Feb-97","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/425.jpg   "
"Oil & Gas","Electro-Mechanical Work Saudi
Aram co Riyadh Refinery.","Saudi Aramco","YUSUF BIN
KANOO","Plant Services","Riyadh","Mechanical & Electrical Construction.","Normal","Completed","Mar-96","Dec-97","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/426.jpg   "
"Metal","Electrical & Instrumentation
Work for NAMA Epoxy Company","MITSUI ENG & SHIPBUILDING CO.","GAMA","Electrical & Instrumentation","Jubail","Installation & Commissioning of Electrical & Instrumentation","Normal","Completed","Mar-96","Nov-96","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/427.jpg   "
"Oil & Gas","Electrical, Instrumentation & Piping Work for AHG Plant","ABDULLAH HASHIM GAS Co.","ABDULLAH HASHIM GAS Co.","Plant Services","Jubail","Electrical, Instrumentation & Piping Work for AHG Plant (Abdullah Hashim Industrial Gases and equipment Company Limited) ","Normal","Completed","Jan-95","Aug-95","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/428.jpg   "
"Metal","Paging System for Saudi Iron & Steel Company.","SABIC","HADEED","Electrical & Instrumentation","Jubail","Installation & Commissioning of paging system for Steel Plant. ","Normal","Completed","Jan-95","Jul-95","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/429.jpg   "
"Petrochemical","Electrical & Instrumentation
Work For LUBEREF II Plant","SAUDI SHINWA","CHIYODA
PETROSTAR Ltd.,","Electrical & Instrumentation","Yanbu","Electrical & Instrumentation","Normal","Completed","Dec-94","Mar-95","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/430.jpg   "
"Petrochemical","Fire Protection & Heat Tracing Work","CHIYODA
PETROSTAR Ltd.,","CHIYODA
PETROSTAR Ltd.,","Electrical & Instrumentation","Jubail","Fire Protection & Heat Tracing for SABIC affiliate","Normal","Completed","Apr-94","Sep-94","http://sendanit.com/sendan_web/wp-content/uploads/2020/04/431.jpg   "
